### channel=id33-transformer-recipe-repair seq=46
### host=login4
### started=2026-09-10T09:10:36+0800
### ---------- output ----------
=== STAMP ===
2026-09-10T09:10:36+0800
=== EPOCHWISE MEDIANS ===
###EPOCHS T1 results/33_transformer_recipe_repair/T1/transformer_recipe_repair_T1_2026_0909_1839_ep30
16,0.68959
17,0.69174
18,0.68689
19,0.68391
20,0.68138
21,0.68491
22,0.68479
23,0.68244
24,0.68049
25,0.68040
26,0.67714
27,0.68238
28,0.67688
29,0.67756
30,0.67714
###EPOCHS C3 results/33_transformer_recipe_repair/C3/transformer_recipe_repair_C3_2026_0909_1839_ep30
1,0.51158
2,0.54429
3,0.58440
4,0.58983
5,0.58544
6,0.58318
7,0.62247
8,0.62783
9,0.63033
10,0.63547
11,0.66333
12,0.65976
13,0.66265
14,0.67032
15,0.66821
16,0.66385
17,0.66713
18,0.67702
19,0.68059
20,0.67310
21,0.69138
22,0.68499
23,0.68439
24,0.67673
25,0.67609
26,0.69065
27,0.69469
28,0.69044
29,0.68858
30,0.68558
###EPOCHS C4 results/33_transformer_recipe_repair/C4/transformer_recipe_repair_C4_2026_0909_1839_ep30
1,0.57602
2,0.61346
3,0.65457
4,0.66442
5,0.65689
6,0.66378
7,0.68435
8,0.68476
9,0.68139
10,0.67293
11,0.69434
12,0.69759
13,0.70358
14,0.70085
15,0.70538
16,0.70239
17,0.70001
18,0.69909
19,0.69565
20,0.70436
21,0.70936
22,0.70354
23,0.70882
24,0.70898
25,0.70386
26,0.70650
27,0.70697
28,0.70484
29,0.70486
30,0.70602
###EPOCHS C5 results/33_transformer_recipe_repair/C5/transformer_recipe_repair_C5_2026_0909_1839_ep30
1,0.55531
2,0.58038
3,0.59078
4,0.60645
5,0.59752
6,0.60529
7,0.60724
8,0.59457
9,0.61283
10,0.63746
11,0.64450
12,0.65607
13,0.65752
14,0.65052
15,0.65408
16,0.64576
17,0.66026
18,0.66123
19,0.66648
20,0.67328
21,0.66454
22,0.66496
23,0.67667
24,0.67109
25,0.67276
26,0.66912
27,0.67361
28,0.67524
29,0.67858
30,0.68157
=== PERBASIN ARMS ===
###ARM T1 rows=532
basin,NSE
01022500,0.7835271954536438
01031500,0.8246312141418457
01047000,0.791706919670105
01052500,0.8647802472114563
01054200,0.6282954216003418
01055000,0.6047812104225159
01057000,0.7967970371246338
01073000,0.6983619928359985
01078000,0.8568460941314697
01123000,0.7421995997428894
01134500,0.7658672332763672
01137500,0.8107535243034363
01139000,0.813001275062561
01139800,0.7376123666763306
01142500,0.7103395462036133
01144000,0.8154473900794983
01162500,0.6663709282875061
01169000,0.7713991403579712
01170100,0.7645391225814819
01181000,0.6932244896888733
01187300,0.8115960359573364
01195100,0.6671676635742188
01333000,0.4841649532318115
01350000,0.636831521987915
01350080,0.2831658720970154
01350140,0.5148266553878784
01365000,0.7082170248031616
01411300,0.3631807565689087
01413500,0.3544781804084778
01414500,0.5475525259971619
01415000,0.5153915286064148
01423000,0.6101878881454468
01434025,0.3508738875389099
01435000,0.7299244403839111
01439500,0.7001523375511169
01440000,0.8102549910545349
01440400,0.7006672620773315
01451800,0.6821140050888062
01466500,0.8106623888015747
01484100,0.6721036434173584
01487000,0.4794982671737671
01491000,0.8668001294136047
