basin_id,model,period,nse,kge,bias,peak_bias,lowflow_bias,parameter_count,solver_name,family,run_status,error_message,_elapsed_s,_cal_nse,p_parTT,p_parCFMAX,p_parCFR,p_parCWH,p_parFC,p_parBETA,p_parLP,p_parK0,p_parK1,p_parUZL,p_parPERC,p_parK2,p_lag_time,state_SNOWPACK,state_MELTWATER,state_SM,state_SUZ,state_SLZ,state_init_mode
01414500,hbv_lite_cma,evaluation,0.535029,0.527186,0.21942,-0.1882,4.602385,13,explicit_euler_dt1,hbv,success,,31.05,0.493,-2.289943002560384,2.6020133961220067,0.0776281284908931,0.0319050009908264,708.5317459801541,5.9998318447048815,0.4420737280728432,0.3722505897964906,0.1005592396043641,5.267918651608708e-06,13.302526699550402,0.0687798504041875,1.708976332691718,0.0,0.0,673.3102109606169,0.0,48.88157677865431,cal_final_2008-09-30
01415000,hbv_lite_cma,evaluation,0.63014,0.576201,0.281742,-0.131843,4.928903,13,explicit_euler_dt1,hbv,success,,31.07,0.6196,-2.0800000851152536,2.1919860822462174,0.0717568176443522,1.880724748516008e-09,557.7953970579953,5.881634446249287,0.7679805094434746,0.5707374437475476,0.2966413758536412,20.64618855182002,8.228004981298202,0.079760494768235,1.001158747045649,0.0,0.0,515.4690609453238,0.0,27.911730645834407,cal_final_2008-09-30
01423000,hbv_lite_cma,evaluation,0.712317,0.648812,0.237062,-0.104217,3.623655,13,explicit_euler_dt1,hbv,success,,31.35,0.7348,-1.3600052793262458,2.289601086684585,0.0573605612962179,0.0031983139143902,332.78611815327366,5.999519671728116,0.4456685539303264,0.864166551785029,0.3843384514816775,21.924935657981397,9.80721635654286,0.0951025699886164,1.514560611461766,0.0,0.0,305.3994277864185,0.0,19.114930628219003,cal_final_2008-09-30
01434025,hbv_lite_cma,evaluation,0.462842,0.5933,0.275014,-0.075138,3.454684,13,explicit_euler_dt1,hbv,success,,31.24,0.532,-2.3400026672046166,2.1756232207520183,0.066711924629863,0.1999996776849036,931.834229606971,5.867588893771039,0.8577356048535918,0.9899999735369036,0.4999988736034725,57.05983175710381,13.781437275322592,0.0575841865120705,1.0597919123782558,0.0,0.0,888.19833615254,0.0,65.30064453486183,cal_final_2008-09-30
01435000,hbv_lite_cma,evaluation,0.673475,0.746311,0.063473,-0.143423,1.306071,13,explicit_euler_dt1,hbv,success,,31.4,0.6978,-2.1099958664505736,1.917606974912379,0.0894466878953239,2.4778552890994717e-08,441.1178269880601,4.482674765975375,0.6419928442078844,0.9899983410711124,0.4782178512312573,10.854337095448168,10.58725528109486,0.0829694254377489,1.0188937577909751,0.0,0.0,409.39226089023776,0.0,35.77445929013775,cal_final_2008-09-30
01439500,hbv_lite_cma,evaluation,0.702849,0.717814,0.132199,-0.121186,3.112228,13,explicit_euler_dt1,hbv,success,,30.38,0.7511,-2.050000143730418,1.3597583083690536,0.0771521812775029,5.616138732838029e-09,631.7210662941285,5.999947503706204,0.7856489880792286,0.4299502844943138,0.4509263653258352,20.219536742610146,11.690455099013343,0.0945679547638902,1.0772548408382288,0.0,0.0,588.2633739197599,0.0,38.52614458191258,cal_final_2008-09-30
01440000,hbv_lite_cma,evaluation,0.573888,0.644908,0.191816,-0.115644,2.922908,13,explicit_euler_dt1,hbv,success,,31.5,0.6758,-0.7602867086118248,3.859861405143157,0.0310461095629019,2.9118175453097488e-06,967.2226815882228,5.999948361824634,0.4113316356300839,0.9897223879677848,0.3286348208575432,20.85009586699788,9.188584085370367,0.0648661095898713,1.9943706905532332,0.0,0.0,878.4705284466776,0.0,34.83858590464116,cal_final_2008-09-30
01440400,hbv_lite_cma,evaluation,0.644184,0.73415,0.175902,-0.04396,2.431322,13,explicit_euler_dt1,hbv,success,,31.08,0.6282,-1.5843691030977631,1.554293315884172,0.0154818965915628,1.264552590534306e-06,649.8575169670792,5.999851710233322,0.6877477079135105,0.9899891472466904,0.4962458535841388,0.0003165543338186,12.815243478178491,0.117878268419731,1.5580719482260847,0.0,0.0,604.4546302031733,0.0,33.01296614616608,cal_final_2008-09-30
01451800,hbv_lite_cma,evaluation,0.614211,0.6532,0.171196,-0.147055,2.512188,13,explicit_euler_dt1,hbv,success,,30.29,0.7294,-2.499999999998162,2.1732320720261247,0.0088277139494063,4.7535888092336864e-14,754.0819497963508,5.999999999065152,0.296135286850533,0.9899999999975256,0.481510371064722,5.488488001466152,8.264124382788234,0.1222687890476813,1.001509362490757,0.0,0.0,667.8315845422271,0.0,17.67398902990901,cal_final_2008-09-30
01466500,hbv_lite_cma,evaluation,-1.16909,0.049381,0.319117,0.221009,0.49798,13,explicit_euler_dt1,hbv,success,,57.14,0.3762,2.482480493343409,14.943884877761649,0.0858713745821358,0.0040243116880801,457.52746087015214,3.726935031652661,0.5607984822998802,0.5037041509016253,0.0100033839268324,169.34329891668713,1.6438721292948368,0.0001152710581443,1.3884733421034556,0.0,0.0,387.7168405743611,23.509437300755103,3923.636229185959,cal_final_2008-09-30
01484100,hbv_lite_cma,evaluation,0.322829,0.441217,0.187681,-0.139625,1.237085,13,explicit_euler_dt1,hbv,success,,40.5,0.3463,-1.382392402886519,9.42206271146853,0.0960786899950457,0.0212529286135869,270.1961632297434,5.997126238534158,0.3308663249585367,0.0965341304150899,0.0103613344552468,199.99864903365548,1.2668881945077888,0.0001000066398226,1.6575127445174216,0.0,0.0,199.5639188033421,0.0,3163.7412684871083,cal_final_2008-09-30
01487000,hbv_lite_cma,evaluation,0.384367,0.444027,0.53299,0.176589,1.507304,13,explicit_euler_dt1,hbv,success,,33.97,0.5023,-0.8699996860953836,5.567278288965861,0.0918484082866453,1.288363674187214e-07,682.8948782047981,5.999999969078296,0.2867888358339073,0.669892509881383,0.2841223683639103,61.090440954174696,14.096491655679785,0.0272419397565227,1.6030656436694322,0.0,0.0,542.7722870183816,0.0,24.16363605818224,cal_final_2008-09-30
01491000,hbv_lite_cma,evaluation,0.700911,0.432176,0.546917,0.103579,4.054726,13,explicit_euler_dt1,hbv,success,,31.56,0.6156,-0.9600089619460216,1.6687013019592134,0.0934418083436135,0.0816037198683811,796.3002635026423,5.999755988919709,0.278539313158167,0.7146058993074077,0.2265218747280035,13.914014430590822,5.416090871036164,0.0537495725019454,1.6437061371020778,0.0,0.0,649.1843068875871,0.0,14.090310993369286,cal_final_2008-09-30
01510000,hbv_lite_cma,evaluation,0.633179,0.645341,0.243696,-0.125816,3.94779,13,explicit_euler_dt1,hbv,success,,32.1,0.7018,-2.4800002861770327,1.7906136127200127,0.0741887977065934,2.4958734295717167e-09,418.9117341496876,5.994748804498229,0.674185458627573,0.9141975803687196,0.3213322765314122,6.541029117176624e-06,9.595193785234626,0.10306162352121,1.0641512644416815,0.0,0.0,371.9821581846483,0.0,11.604526026538965,cal_final_2008-09-30
01516500,hbv_lite_cma,evaluation,0.400973,0.403719,0.311115,-0.253059,22.714088,13,explicit_euler_dt1,hbv,success,,31.83,0.6285,-2.267892166488924,1.0868057804954807,2.258970364639442e-05,0.1266254396816418,421.202182873027,5.665229554120336,0.4609432375351346,0.9898283969681876,0.4379630277177772,11.300399496054784,5.848954119710519,0.0002565107702328,1.774554456210763,0.0,0.0,340.63737589700776,0.0,3205.454483607105,cal_final_2008-09-30
01518862,hbv_lite_cma,evaluation,0.544973,0.50731,0.35121,-0.115246,9.742838,13,explicit_euler_dt1,hbv,success,,31.29,0.6305,-1.6800091115395408,2.056465749138809,0.0999973026849166,0.1004670497648657,454.94098235228734,5.93269408981884,0.2315778599589955,0.9899781569497268,0.4647659318046193,9.108087228701333,6.510772894873601,0.0751031954769298,1.0643188484430826,0.0,0.0,388.77534794705946,0.0,12.02351619769301,cal_final_2008-09-30
01532000,hbv_lite_cma,evaluation,0.516558,0.495008,0.232083,-0.124071,4.277658,13,explicit_euler_dt1,hbv,success,,31.51,0.6807,-2.229989944619992,1.697799666570596,0.0002958092121376,1.351062852760804e-06,337.80469341794014,5.999182477298511,0.3127905669000598,0.904944147775166,0.4981482270354964,12.161786123185408,6.43711529995158,0.0950373309833906,1.9971407229539195,0.0,0.0,286.1719604226988,0.0,9.288089264319034,cal_final_2008-09-30
01539000,hbv_lite_cma,evaluation,0.669937,0.704376,0.181047,-0.093985,2.242924,13,explicit_euler_dt1,hbv,success,,31.04,0.7602,-2.499998727222354,1.2500075419058672,0.0977295824068031,0.0139594097072631,296.744517740618,5.999999251856439,0.580495981456093,0.989999954779694,0.3664235471862341,18.296124736178964,5.8556048394940845,0.1004385677836402,1.0841237930196357,0.0,0.0,279.95407617865783,0.0,23.250697376538472,cal_final_2008-09-30
01542810,hbv_lite_cma,evaluation,0.600552,0.571884,0.28434,-0.14298,7.999781,13,explicit_euler_dt1,hbv,success,,31.11,0.6728,-1.980000002250541,1.7608001904262884,0.0977433119424779,1.0986812567704757e-07,404.2113991606081,5.996029844882814,0.220105151694362,0.9496572921056464,0.2388300393911457,12.460243708737146,3.2184175423486208,0.1114454105125984,1.1848384496543205,0.0,0.0,339.83418288301164,0.0,6.224908911602123,cal_final_2008-09-30
01543000,hbv_lite_cma,evaluation,0.660681,0.631617,0.275213,-0.078501,5.324086,13,explicit_euler_dt1,hbv,success,,31.11,0.7577,-1.6400000154051084,2.0437511813525813,0.0864187429815416,1.888191858116661e-09,352.6187945633428,5.999999971086442,0.2168629784163724,0.881044745031642,0.3436402430192173,17.384310356260137,6.220427372880582,0.1303531729140918,1.0437520614332791,0.0,0.0,296.9547115390749,0.0,5.443724427181156,cal_final_2008-09-30
