event_id,block_index,trial_index,switch_day_index,switch_day_number,old_parameter_id,new_parameter_id,transition_label,numerical_success,response_start_day,new_candidate_top_ranked_days_in_window,new_candidate_probability_above_half_days_in_window,minimum_new_candidate_probability_in_window,maximum_new_candidate_probability_in_window,minimum_probability_margin_in_window,maximum_probability_margin_in_window,minimum_probability_in_qualifying_run,minimum_margin_in_qualifying_run
block_07_trial_1_switch_day_181,6,0,180,181,candidate_2_shared_limits,candidate_3_shared_limits,candidate_2_shared_limits_to_candidate_3_shared_limits,True,0,30,30,1.0,1.0,1.0,1.0,1.0,1.0
block_07_trial_1_switch_day_361,6,0,360,361,candidate_3_shared_limits,candidate_1_shared_limits,candidate_3_shared_limits_to_candidate_1_shared_limits,True,0,30,30,0.6003612296861305,1.0,0.2007224593722609,1.0,0.8262569789613965,0.652513957922793
block_07_trial_2_switch_day_181,6,1,180,181,candidate_3_shared_limits,candidate_1_shared_limits,candidate_3_shared_limits_to_candidate_1_shared_limits,True,0,30,30,0.9731862755697025,1.0,0.9463725511394049,1.0,0.9731862755697025,0.9463725511394049
block_07_trial_2_switch_day_361,6,1,360,361,candidate_1_shared_limits,candidate_2_shared_limits,candidate_1_shared_limits_to_candidate_2_shared_limits,True,0,30,30,1.0,1.0,1.0,1.0,1.0,1.0
block_07_trial_3_switch_day_181,6,2,180,181,candidate_1_shared_limits,candidate_2_shared_limits,candidate_1_shared_limits_to_candidate_2_shared_limits,True,0,30,30,1.0,1.0,1.0,1.0,1.0,1.0
block_07_trial_3_switch_day_361,6,2,360,361,candidate_2_shared_limits,candidate_3_shared_limits,candidate_2_shared_limits_to_candidate_3_shared_limits,True,0,30,30,1.0,1.0,1.0,1.0,1.0,1.0
block_08_trial_1_switch_day_181,7,0,180,181,candidate_2_shared_limits,candidate_3_shared_limits,candidate_2_shared_limits_to_candidate_3_shared_limits,True,0,30,30,1.0,1.0,1.0,1.0,1.0,1.0
block_08_trial_1_switch_day_361,7,0,360,361,candidate_3_shared_limits,candidate_1_shared_limits,candidate_3_shared_limits_to_candidate_1_shared_limits,True,0,30,30,0.9908912075678827,1.0,0.9817824151357655,1.0,0.9908912075678827,0.9817824151357655
block_08_trial_2_switch_day_181,7,1,180,181,candidate_3_shared_limits,candidate_1_shared_limits,candidate_3_shared_limits_to_candidate_1_shared_limits,True,0,30,30,0.9805673623513548,1.0,0.9611347247027096,1.0,0.9805673623513548,0.9611347247027096
block_08_trial_2_switch_day_361,7,1,360,361,candidate_1_shared_limits,candidate_2_shared_limits,candidate_1_shared_limits_to_candidate_2_shared_limits,True,0,30,30,1.0,1.0,1.0,1.0,1.0,1.0
block_08_trial_3_switch_day_181,7,2,180,181,candidate_1_shared_limits,candidate_2_shared_limits,candidate_1_shared_limits_to_candidate_2_shared_limits,True,0,30,30,1.0,1.0,1.0,1.0,1.0,1.0
block_08_trial_3_switch_day_361,7,2,360,361,candidate_2_shared_limits,candidate_3_shared_limits,candidate_2_shared_limits_to_candidate_3_shared_limits,True,0,30,30,1.0,1.0,1.0,1.0,1.0,1.0
