basin,nse_clean,total_dep,temp_share,precip_share,imp_precip,imp_temp,imp_srad,imp_vp
02016000,0.8131633400917053,1.1382424235343933,0.21713203904456044,0.7380792094268979,0.9196727474530538,0.27055418491363525,0.03201478719711304,0.023793578147888184
02017500,0.7215798497200012,1.039732038974762,0.30422229450871646,0.6957777054912834,0.8079980810483297,0.3532896041870117,-0.008982360363006592,-0.00019999345143639768
02018000,0.7710009813308716,1.0747363567352295,0.225365433161768,0.7456494784081985,0.901238481203715,0.2723907232284546,0.009808977444966671,0.02522420883178711
02027000,0.5676816701889038,1.0666908423105876,0.13787563816392082,0.8331371721044069,0.7867861191431681,0.13020501534144086,-0.01742541790008545,0.0273745059967041
02027500,0.5282756090164185,0.7786529461542766,0.18910732634471253,0.781285679554919,0.6088666518529257,0.14737393458684284,0.023073136806488037,-0.0041654109954833984
02028500,0.682192325592041,1.0346076488494873,0.19811487714807358,0.7435426919574509,0.813862125078837,0.21685129404067993,0.034680187702178955,0.02917989095052087
02038850,0.5640562176704407,0.7647096514701843,0.0,0.9805145368762721,0.8774812817573547,-0.04025266567866004,-0.0020088950792948035,0.01743791500727332
02046000,0.5314589738845825,0.8976224263509114,0.2687075351383136,0.6146892136312475,0.8778798182805378,0.38375965754191077,-0.034487128257751465,0.16652909914652508
02051500,0.8253993988037109,1.085021694501241,0.11995909535148688,0.8023021114714787,0.9622800747553507,0.14387877782185876,0.02605406443277991,0.0671857396761576
02053200,0.809646487236023,1.0832627614339192,0.12661054730850485,0.8499734639342277,0.8941686948140463,0.13319379091262817,0.00512496630350745,0.01950856049855554
02053800,0.7052134871482849,1.0290961066881816,0.15023965645699738,0.7789003115936601,0.9781112472216289,0.1886648337046305,0.03324687480926514,0.05573626359303796
02055100,0.6516209244728088,1.0216921369234722,0.30178875284182866,0.6520952434072876,0.7788467605908712,0.3604491750399272,0.03322601318359375,0.021853824456532833
02056900,0.7507019639015198,1.2324703733126323,0.21324255863512756,0.748536329817713,1.0549516081809998,0.3005339503288269,0.024773697058359745,0.02909332513809204
