basin,frac_snow,nse_clean,D_nse,temp_share,precip_share
01632900,0.0980763292373855,0.5497965812683105,0.917273998260498,0.3086749309130441,0.47122875684035054
01664000,0.0827964257846037,0.6885781288146973,0.43282806873321533,0.32607657879481244,0.4141917153247829
02011400,0.129154721501962,0.8612060546875,0.4199672341346741,0.348414776010433,0.43255646464731057
02017500,0.0901845265568014,0.721656084060669,0.43887126445770264,0.3433094445569872,0.47196009266785166
02038850,0.0655225978510027,0.5640077590942383,0.39749860763549805,0.35389506850598024,0.42072322579413074
02055100,0.0622119918873982,0.6516194939613342,0.5635097622871399,0.2952026203058066,0.4786178381955953
02069700,0.0533951587612168,0.7269130349159241,0.35719484090805054,0.31419524144499184,0.4414983727673592
02082950,0.0329927432325966,0.5524907112121582,0.19336670637130737,0.30101457237278867,0.4506551659871586
02111180,0.0460568781002514,0.6275782585144043,0.2719199061393738,0.3060640891894835,0.4690793648507673
02125000,0.0247912331690011,0.48547792434692383,0.4157176613807678,0.3133439191499739,0.4590251466505722
02143040,0.0345610698452001,0.6106172800064087,0.2977592349052429,0.3126496176224875,0.44486081420870194
02193340,0.0127448828346305,0.7258784174919128,0.24384921789169312,0.3153188429497558,0.44657363302683356
02215100,0.0010333057458655,0.6521037220954895,0.27979743480682373,0.24880193879202822,0.4913364432043706
02246000,0.0003326922230974,0.748123049736023,0.22682905197143555,0.25144537076387835,0.49592484163031814
02298608,0.0,0.7024227976799011,0.21611738204956055,0.2574330986337847,0.48669745348990634
02350900,0.001767717746493,0.8618989586830139,0.1865749955177307,0.24755530460332248,0.5575068383765688
02372250,0.0034759991435446,0.7694461345672607,0.16822028160095215,0.2726240459617568,0.4766302972609744
02415000,0.0124691410953683,0.8266725540161133,0.14042532444000244,0.29051017871112106,0.46242586104986494
02464360,0.0095365763059721,0.7666195631027222,0.253104567527771,0.31008637138031936,0.4390954674027672
02479155,0.0018026132328254,0.6067606210708618,0.14580601453781128,0.2810048655280654,0.47739543770140913
04015330,0.196079390089318,0.7848813533782959,0.5104245543479919,0.38137077304769923,0.3973370308271975
04045500,0.300079815277018,0.8843867182731628,0.5425593852996826,0.3895421732770184,0.4156148994448086
04074950,0.203272983314769,0.6836624145507812,0.5860874056816101,0.29012050721385885,0.5202623369822506
04127918,0.290254060373262,0.697510838508606,0.3966420292854309,0.38286431943491617,0.44048287708827466
04197100,0.111863760810241,0.7889013290405273,0.5462957620620728,0.256662585906139,0.5588675101406023
04221000,0.207214753166224,0.7649009227752686,0.45445024967193604,0.39313748511430535,0.40568311424742043
03011800,0.210192690903197,0.6881811618804932,0.6373702883720398,0.380132928170799,0.40393890068887417
03049000,0.139333377128464,0.684099555015564,0.48181861639022827,0.2985678391468474,0.49830781704254745
03076600,0.189395500517419,0.6465710401535034,0.5035058259963989,0.35456943092072,0.44783850468119357
03173000,0.0942000993572573,0.8224482536315918,0.6093249917030334,0.3311783330458136,0.46732291713255514
03237500,0.0787104016916548,0.8356038331985474,0.21955299377441406,0.2929638612058405,0.49427416150713505
03285000,0.0446468108120254,0.6071729063987732,0.3329322934150696,0.28738506633293115,0.5001050907642883
03364500,0.0804170575814994,0.8233581781387329,0.3580646514892578,0.2741691334269164,0.47044810729424263
03455500,0.0774314166204897,0.7173950672149658,0.17135202884674072,0.41630646860722686,0.3416107397313307
03473000,0.0832667330515825,0.7321803569793701,0.47705668210983276,0.33632647550193634,0.45281071029346914
03500240,0.029394718558517,0.817357063293457,0.2561361789703369,0.3349644153120968,0.40375708672151467
05291000,0.148874500915531,0.4849722981452942,0.8643806576728821,0.34655920078636115,0.4591202627131056
05413500,0.124159245932601,0.579325795173645,1.050438404083252,0.30727769326947213,0.48540898460431
05466500,0.107102802145215,0.7409208416938782,0.7207549214363098,0.3041427539649793,0.45878492620926103
05495500,0.0758324970984556,0.714183509349823,0.29209935665130615,0.2664833549683698,0.5606075579916964
05525500,0.0775662992910571,0.7533760666847229,0.4069877862930298,0.24700122018632528,0.5432219487186721
05592575,0.0638801924050215,0.6128377914428711,0.3890231251716614,0.29337953758543556,0.5165671323916585
07359610,0.0301790248613661,0.6508299112319946,0.194543719291687,0.34379907006658517,0.42755871616677743
08014500,0.0022457658116513,0.7286081910133362,0.2523425817489624,0.22816042214413085,0.5258760955355104
06278300,0.732862235334757,0.8743531107902527,0.46775567531585693,0.5278266932721093,0.27347411433316454
06332515,0.173914615394175,0.4486079812049866,1.0919867157936096,0.335640732537401,0.444164673690278
06404000,0.191294358675479,0.7232931852340698,0.362123966217041,0.312020013534868,0.5043087327602332
06447500,0.155649176414783,0.41935068368911743,0.309612512588501,0.2382901867013494,0.5722467638870373
06614800,0.760476738091987,0.8293037414550781,0.4356381297111511,0.49144115568032826,0.28640586246171945
06803510,0.0940475934983777,0.49638479948043823,0.1822013258934021,0.27315747098526855,0.5018910205668863
06876700,0.0796113854216262,0.7156944274902344,0.3349437713623047,0.27264674218755663,0.4631553370176404
06889200,0.0716152496141078,0.7692975997924805,0.27439361810684204,0.2824532093442453,0.48265704377200236
06910800,0.0613066358092003,0.8424224853515625,0.3003930449485779,0.2844272392125123,0.4902911498797067
06921070,0.0601238372834516,0.7970678806304932,0.2886086702346802,0.2871566828274844,0.47105996410687817
07083000,0.710599947836907,0.8079418540000916,0.3979535698890686,0.48922041512715897,0.2971920548344785
07184000,0.0453576175844397,0.7332388162612915,0.19114911556243896,0.2792689222681206,0.49567848876753495
07261000,0.0378060990134872,0.5863441228866577,0.24370187520980835,0.2764862220701699,0.49174209642524364
07315700,0.0208161228801737,0.6898679137229919,0.25959312915802,0.2700559971753379,0.5400388349352675
08050800,0.0196728968786143,0.4315185546875,0.18219709396362305,0.30700411103715597,0.4544968482048471
08082700,0.0128021384845558,0.3076963424682617,0.3551058769226074,0.2874177713276576,0.4791910843841253
08104900,0.0093596117977168,0.6882636547088623,0.24556052684783936,0.28617396423819647,0.44594154623159327
08164300,0.0021354784821483,0.7913957834243774,0.14312946796417236,0.2769337845616469,0.4781811912015134
08176900,0.0018005933498891,0.46192485094070435,0.18653088808059692,0.24126708949659117,0.5085601219108328
08194200,0.0005535601264272,-0.030588388442993164,0.5039851665496826,0.23697649711668767,0.5161135028515753
08202700,0.002762016493395,0.5564929246902466,0.6881380081176758,0.2766679459526994,0.4798056279382616
08377900,0.466213354634129,0.6231536269187927,0.7750981450080872,0.4344796904346037,0.32333318948324213
09047700,0.626945100722261,0.8229009509086609,0.6577861905097961,0.473974831765515,0.34504430189699514
09081600,0.66474212387336,0.9166585206985474,0.3536818027496338,0.4545549593285163,0.2894740073026576
09312600,0.604725963590861,0.815000057220459,0.6949698328971863,0.3900238098629313,0.4241234649782338
09430600,0.21287165392999,0.28912901878356934,1.6800861358642578,0.4490142440962663,0.331665199452
09497980,0.0796650506390503,0.7139788269996643,0.5890305042266846,0.3732802268170969,0.4024861237046236
09512280,0.0046420695661842,0.6810120344161987,0.17598193883895874,0.38503703972465114,0.32796733798170097
10336660,0.668727842270536,0.7780494689941406,0.2554208040237427,0.5391975088779597,0.21109420640792123
12025700,0.0905767573548292,0.8244218230247498,0.2856248617172241,0.4667292588393709,0.2961183303115011
12054000,0.379149578248129,0.718258261680603,0.5023598074913025,0.5592026426875103,0.17077420507827254
12114500,0.40651703888364,0.7459716200828552,0.5031066536903381,0.5798472463569262,0.181579652220905
12145500,0.0448546378807159,0.8978121876716614,0.1238899827003479,0.4167463522026565,0.3720804913923737
12186000,0.435652191884185,0.7242417931556702,0.47337186336517334,0.5515998162000524,0.20854410739855975
