basin,bias_rel,phantom_low,double_frac_low,nse_clean_npz,peak_mag_rel,peak_timing_abs,nse_clean,frac_snow,aridity,p_mean,runoff_ratio,q_mean,regime
02011400,0.03148249814632197,0.02252384525398066,0.008211678832116789,0.8612060546875,-0.2502988874912262,0.0,0.8612251281738281,0.129154721501962,0.773300582733942,3.28856536618754,0.301920852489919,0.992886458828164,humid
02013000,0.08128403182696861,0.026230525446617716,0.0072992700729927005,0.773804783821106,-0.1787118762731552,0.0,0.7737433910369873,0.0979143372407574,0.854849670874662,3.0362765229295,0.32178937423066,0.977041522304727,humid
02014000,0.07990108154940197,0.021234819963360522,0.013686131386861315,0.7675912976264954,-0.1805470809340477,0.0,0.7675839066505432,0.0978680841760858,0.815640645940571,3.1245735797399,0.341059346595645,1.06566502349611,humid
02015700,0.04818734522880654,0.03055446590196007,0.03102189781021898,0.741569995880127,-0.1721666604280471,0.0,0.7415308356285095,0.128567248718796,0.794159061691014,3.19551950718686,0.424175010789272,1.35545952143831,humid
02016000,0.16376049693643396,0.04742740224403499,0.053832116788321165,0.8131596446037292,0.1031070724129676,0.0,0.8131633400917053,0.102077363429123,0.818432908034564,3.14481451060917,0.367497959675417,1.15571291620652,humid
02017500,-0.0827531322605258,0.02048220149284072,0.012773722627737226,0.721656084060669,-0.3599234819412231,0.0,0.7215798497200012,0.0901845265568014,0.859102086896714,3.0252977412731,0.386444504683533,1.1691096871465,humid
02018000,-0.1374825943943961,0.015536313853933725,0.021897810218978103,0.7710499167442322,-0.3730129897594452,0.0,0.7710009813308716,0.0849686144296571,0.857652049335285,3.05576454483231,0.364492460019353,1.11380313618585,humid
02027000,0.12284757455095374,0.06956213577452933,0.10948905109489052,0.5676570534706116,0.0612837933003902,0.0,0.5676816701889038,0.0904732223814793,0.762651740364609,3.46788637919233,0.473552146412579,1.64222503838148,humid
02027500,0.039502330591147036,0.053714928064005005,0.06113138686131387,0.5283215045928955,-0.0429705623537302,0.0,0.5282756090164185,0.100786018307687,0.720432416504928,3.66553456536619,0.503420057110929,1.84530362023873,humid
02028500,0.04795606136748993,0.05506086263907213,0.04470802919708029,0.6822072863578796,-0.1499435752630233,0.0,0.682192325592041,0.0802569579048301,0.780713214566435,3.3264476386037,0.42921672989402,1.42776697760516,humid
02038850,0.07426705576484616,0.036213570269594195,0.004562043795620438,0.5640077590942383,-0.039701510220766,0.0,0.5640562176704407,0.0655225978510027,0.917397176800705,3.14961533196441,0.281926158152608,0.887958950199278,humid
02046000,0.39049056389524095,0.08509129954391251,0.10036496350364964,0.5314111113548279,0.2415991351008415,0.0,0.5314589738845825,0.0453728268084367,0.840977572390861,3.26886379192334,0.262162102804243,0.856972205471274,humid
02051500,-0.07573730245486622,0.019505721804777026,0.05018248175182482,0.8253755569458008,-0.2384753078222274,0.0,0.8253993988037109,0.0525514965704711,0.933139045567573,3.19027378507871,0.257069561634736,0.820122283424975,humid
02053200,-0.005652319295303128,0.07812407432898337,0.18156934306569342,0.8096317648887634,-0.282650738954544,0.0,0.809646487236023,0.0248316831845784,0.838932113620677,3.33393155373032,0.257417960340642,0.858213860476566,humid
02053800,-0.006061747951731288,0.041735007492681477,0.017335766423357664,0.7051995992660522,-0.211954116821289,0.0,0.7052134871482849,0.0938172550300136,0.826339256900167,3.22805612594114,0.299970752210596,0.968322424276586,humid
02055100,0.22976960709425667,0.10295440402538657,0.15784671532846714,0.6516194939613342,0.2092317789793014,0.0,0.6516209244728088,0.0622119918873982,0.871782559697856,3.05622997946612,0.3210982630564,0.981350137907469,humid
02056900,0.16466172006924262,0.09192745777833529,0.0018248175182481751,0.7507181167602539,0.1936338990926742,0.0,0.7507019639015198,0.0646059372808137,0.850885666418803,3.17934428473648,0.319756848717472,1.01661710947524,humid
02059500,0.11189743037079868,0.07770892081245775,0.02281021897810219,0.6444969177246094,0.0964429453015327,0.0,0.6444642543792725,0.0529389162953181,1.03278563068892,3.0996167008898,0.277492840640588,0.86012144322692,humid
02064000,0.10144315025841329,0.04151522517168096,0.020072992700729927,0.6171045899391174,-0.1190879195928573,0.0,0.6170951128005981,0.0606011692596163,0.945386107745239,3.09549623545517,0.300188342856153,0.929231885238746,humid
02065500,0.10821963402291661,0.07293518402183596,0.1177007299270073,0.4927266836166382,-0.0078473044559359,0.0,0.4927521347999573,0.0617139970732649,1.17952007312905,3.13286379192334,0.298859182044046,0.936285110309618,humid
02069700,0.004616064699330358,0.03977432137407596,0.010948905109489052,0.7269130349159241,-0.0940160825848579,0.0,0.7268859148025513,0.0533951587612168,0.771274830789032,3.52261054072553,0.373703052000009,1.31641031007653,humid
02070000,0.11887614488649201,0.10923533386978945,0.004562043795620438,0.6572259664535522,0.1269271820783615,0.0,0.657308042049408,0.0508621647943431,1.13976222236601,3.30035318275154,0.350843216846168,1.15790652736504,humid
02074500,0.14696939961933153,0.05388401125241707,0.0009124087591240876,0.7736092805862427,0.2220557481050491,0.0,0.773658037185669,0.0524690208413809,1.04628781185798,3.27095003422314,0.295724963937553,0.967301580912175,humid
02077200,0.10406250731427212,0.02151425399768768,0.291970802919708,0.4254010319709778,0.0500009320676326,0.0,0.425442636013031,0.0489889008542847,0.872634286050719,3.27839698836413,0.279088137584278,0.914961709744453,humid
02081500,0.17058674519064404,0.02322607950232944,0.009124087591240875,0.766128420829773,-0.0471141524612903,0.0,0.766145646572113,0.0436247713972968,0.854582086599984,3.26657905544148,0.257859572731452,0.842318679529648,humid
