basin,n_peaks,peak_mag_rel,peak_timing_abs,peak_shape_corr_med,n_wy,viol_adv,viol_clean,rc_adv_med,rc_clean_med,frac_snow,runoff_ratio
02469800,52,0.07968683168292046,0.0,0.991574001932429,10,0.0,0.0,0.37502145767211914,0.323499858379364,0.003171649398055,0.310789242626969
02472000,41,-0.10618472099304199,0.0,0.9882301286206217,10,0.0,0.0,0.3336586356163025,0.34296196699142456,0.0060147222598053,0.318918668155544
02472500,47,0.06146043911576271,0.0,0.9949598261965014,10,0.0,0.0,0.3205329179763794,0.29751789569854736,0.002454389871356,0.305963020732101
02479155,64,-0.20660798251628876,0.0,0.9941507053561667,10,0.0,0.0,0.3034190535545349,0.35566747188568115,0.0018026132328254,0.338750502694102
02479300,43,-0.10216743499040604,0.0,0.9945323506495874,10,0.0,0.0,0.37586554884910583,0.39151090383529663,0.0007412865485982,0.383667707301466
02479560,40,-0.11672791093587875,0.0,0.9954485574638428,10,0.0,0.0,0.3917270302772522,0.37773269414901733,0.0008881841770739,0.380309390781085
02481000,58,0.16277974843978882,0.0,0.9934188363567267,10,0.0,0.0,0.5689420700073242,0.43987521529197693,0.0003653977736162,0.39414466645508
02481510,58,0.07922625914216042,0.0,0.9945871696259793,10,0.0,0.0,0.4809378385543823,0.41883575916290283,0.0007622545076852,0.369132748484628
03010655,39,-0.12661448121070862,0.0,0.9750592914278523,10,0.0,0.0,0.5728061199188232,0.5225241184234619,0.207261759338099,0.455751399378086
03011800,48,0.026549729518592358,0.0,0.9721091050172502,10,0.0,0.0,0.7926340103149414,0.6537473201751709,0.210192690903197,0.538101433725681
03015500,50,0.06237754784524441,0.0,0.985443880300237,10,0.0,0.0,0.7049822211265564,0.6094439029693604,0.192038519147369,0.56929237306701
03021350,66,0.12841907516121864,0.0,0.9667885957623206,10,0.2,0.0,0.9562838077545166,0.739054799079895,0.208263538884948,0.621600220645083
03026500,47,-0.00452531548216939,0.0,0.9743141965961851,10,0.0,0.0,0.684840202331543,0.614041268825531,0.209814940150446,0.493333355496781
03028000,45,-0.16070051491260529,0.0,0.9854733638742368,10,0.0,0.0,0.6277080178260803,0.5934262275695801,0.203474312123818,0.571807346270101
03049000,54,-0.19204507768154144,0.0,0.9740266068986472,10,0.0,0.0,0.45867908000946045,0.4004460573196411,0.139333377128464,0.387928098484378
03049800,53,0.11989490687847137,0.0,0.9820126860782209,10,0.0,0.0,0.43349120020866394,0.3502046465873718,0.116341909362209,0.355803193404084
03050000,58,-0.001334147760644555,0.0,0.9726356797383833,10,0.0,0.0,0.6450432538986206,0.5696827173233032,0.158964457158934,0.489376876663823
03069500,57,-0.08999354392290115,0.0,0.9752048649735804,10,0.0,0.0,0.6190173625946045,0.6513779163360596,0.194644630432116,0.601000307419244
03070500,61,0.0025748698972165585,0.0,0.9773332232570016,10,0.0,0.0,0.6592915058135986,0.5874056816101074,0.144725592442485,0.549168889224421
03076600,50,-0.10745152831077576,0.0,0.9713622768434492,10,0.0,0.0,0.5983218550682068,0.5352380871772766,0.189395500517419,0.486972677470955
03078000,57,-0.04447890818119049,0.0,0.9721684123731431,10,0.0,0.0,0.5997994542121887,0.5897479057312012,0.194625437344426,0.542170227147581
03140000,51,-0.29467490315437317,0.0,0.9866141736612329,10,0.0,0.0,0.31111061573028564,0.31898003816604614,0.0894584784615066,0.325505925457804
03144000,54,0.27065713703632355,0.0,0.9881045892602442,10,0.0,0.0,0.5104564428329468,0.3947924077510834,0.0936024048579887,0.368430419067962
03170000,63,-0.20833931863307953,0.0,0.9928804889320391,10,0.0,0.0,0.2823813259601593,0.30464786291122437,0.0945585836238721,0.323360883944825
03173000,57,-0.25436124205589294,0.0,0.9872526411229438,10,0.0,0.0,0.3311637341976166,0.3454939126968384,0.0942000993572573,0.336056023002685
03180500,50,-0.14204683899879456,0.0,0.9657122463301135,10,0.0,0.0,0.6135644912719727,0.5239370465278625,0.195303023284764,0.533537321998708
03182500,56,-0.09020239859819412,0.0,0.9706564018779329,10,0.0,0.0,0.5762242078781128,0.4971834421157837,0.170253081143655,0.47073825513177
03186500,66,-0.14407796412706375,0.0,0.9758626335595963,10,0.0,0.0,0.5579283237457275,0.5873738527297974,0.1907316712122,0.611346628739278
03237280,60,0.24452167749404907,0.0,0.9858441593440619,10,0.0,0.0,0.5201890468597412,0.39987289905548096,0.0847306381238598,0.320095901407147
03237500,68,0.0064425699529238045,0.0,0.9849258464694794,10,0.0,0.0,0.4605602025985718,0.38643062114715576,0.0787104016916548,0.368722525275899
03238500,69,-0.02061368152499199,0.0,0.9877587938868736,10,0.0,0.0,0.5093698501586914,0.39650148153305054,0.0747385312973334,0.391668326847689
03241500,48,0.44490672647953033,0.0,0.9601309680498649,10,0.0,0.0,0.512319803237915,0.3486087918281555,0.0779467519548554,0.338989027615003
03280700,57,0.34515783190727234,0.0,0.9853824096190656,10,0.0,0.0,0.589400053024292,0.4381982684135437,0.0584460847843343,0.333288888822505
03281500,60,0.2011384814977646,0.0,0.990755602102823,10,0.0,0.0,0.5185396075248718,0.41129356622695923,0.044067880842997,0.373787381934962
03285000,60,0.20681080222129822,0.0,0.988103509826532,10,0.0,0.0,0.492717981338501,0.41103795170783997,0.0446468108120254,0.39997947355769
03291780,72,-0.16227461397647858,0.0,0.9822592462467561,10,0.0,0.0,0.5142342448234558,0.46596407890319824,0.0673686532615331,0.41683106992865
03338780,50,-0.37810179591178894,0.0,0.9773108381123778,10,0.0,0.0,0.21768753230571747,0.3559691309928894,0.0725503193755769,0.39984015392833
03340800,50,0.0797891654074192,0.0,0.987159441996831,10,0.0,0.0,0.4636901021003723,0.3293820023536682,0.0732286680426859,0.343884768200808
03346000,48,0.08040885999798775,0.0,0.98125919121804,10,0.0,0.0,0.447756826877594,0.33850228786468506,0.0621069652969445,0.318290709798012
03364500,54,-0.15799830108880997,0.0,0.9871169938432436,10,0.0,0.0,0.41941267251968384,0.3899052143096924,0.0804170575814994,0.359483125379161
03366500,66,-0.2203642725944519,0.0,0.9765518857413342,10,0.0,0.0,0.3622143268585205,0.39264577627182007,0.059067129172147,0.37595721847181
03368000,73,0.20302128791809082,0.0,0.9810840722782324,10,0.0,0.0,0.5790393948554993,0.4301767945289612,0.0670858663666364,0.403829617469226
03384450,67,0.21296410262584686,0.0,0.9829299647931785,10,0.0,0.0,0.4741121530532837,0.38914552330970764,0.0496725306242436,0.363300305639312
03439000,62,-0.1177828423678875,0.0,0.9968996089304545,10,0.0,0.0,0.5047128796577454,0.561647891998291,0.0374660918206049,0.568857600939258
03455500,72,-0.059585703536868095,0.0,0.9944519643101954,10,0.0,0.0,0.5599455833435059,0.5631982088088989,0.0774314166204897,0.569036399006352
