basin,D_exact_moment,nse_clean,nse_adv,D_lp_exp2,D_stat_exp2,whole_mean_abs_max,whole_std_rel_max,max_abs_delta,eps_excess_max,eps_excess_frac,physical_excess_max,physical_excess_frac_max
01605500,0.5196144580841064,0.66741943359375,0.14780497550964355,0.772122859954834,0.3746698498725891,1.4901161193847656e-08,8.236905557623686e-08,0.15063732862472534,0.05063732713460922,0.3018617630004883,3.3612060546875,0.18592196702957153
01638480,0.29558295011520386,0.5707039833068848,0.2751210331916809,0.32265764474868774,0.2751421332359314,4.470348358154297e-08,7.34823615289315e-08,0.2610626220703125,0.16106262803077698,0.3853098750114441,0.14006352424621582,0.2902320921421051
01667500,0.3242895007133484,0.8323150277137756,0.5080255270004272,0.4169386029243469,0.2690904140472412,0.0,6.649409556302999e-08,0.16938209533691406,0.06938209384679794,0.3289977014064789,0.30959057807922363,0.19484825432300568
02014000,0.48029768466949463,0.7675912976264954,0.28729361295700073,0.5295772552490234,0.42942267656326294,1.548323780298233e-08,1.4649103263764118e-07,0.1610403060913086,0.061040304601192474,0.4091813266277313,0.17406535148620605,0.23973476886749268
02027000,0.5687289834022522,0.5676570534706116,-0.001071929931640625,0.6479791402816772,0.5236035585403442,1.4901161193847656e-08,7.337095553339168e-08,0.13908863067626953,0.03908862918615341,0.386432021856308,0.17729759216308594,0.2700841724872589
02051500,0.22999560832977295,0.8253755569458008,0.5953799486160278,0.24541151523590088,0.21207857131958008,3.725290298461914e-08,7.292574366601912e-08,0.17191314697265625,0.07191314548254013,0.41290485858917236,0.12749695777893066,0.25962764024734497
02059500,0.35523438453674316,0.6444969177246094,0.2892625331878662,0.3966715931892395,0.32232004404067993,2.9802322387695312e-08,1.3742167936925398e-07,0.15391802787780762,0.0539180263876915,0.3893394470214844,0.19892144203186035,0.2838561534881592
02074500,0.26688289642333984,0.7736092805862427,0.5067263841629028,0.31271541118621826,0.23440730571746826,2.9802322387695312e-08,6.330552082545182e-08,0.22079086303710938,0.12079086154699326,0.3621525168418884,0.2558169364929199,0.2438153624534607
02096846,0.4384427070617676,0.7176832556724548,0.27924054861068726,0.4792584776878357,0.40158945322036743,5.960464477539063e-08,1.0671976014009488e-07,0.24712371826171875,0.14712372422218323,0.3911246955394745,0.18953680992126465,0.3083397150039673
02112120,0.35552698373794556,0.6729898452758789,0.31746286153793335,0.3885193467140198,0.31536293029785156,2.9802322387695312e-08,7.717469685530887e-08,0.1939535140991211,0.09395351260900497,0.34174954891204834,0.01125025749206543,0.29915839433670044
02137727,0.2978096008300781,0.6846160888671875,0.3868064880371094,0.3290572762489319,0.2662951946258545,1.4901161193847656e-08,7.341360941381936e-08,0.27983760833740234,0.17983761429786682,0.3675592839717865,0.012610435485839844,0.25886252522468567
02152100,0.45294541120529175,0.5512889623641968,0.09834355115890503,0.6781868934631348,0.4066624045372009,5.960464477539063e-08,6.750163805691045e-08,0.16603660583496094,0.06603660434484482,0.33399641513824463,0.2336289882659912,0.2716143727302551
02198100,0.22169488668441772,0.5027257204055786,0.2810308337211609,0.23044490814208984,0.19612127542495728,5.960464477539063e-08,2.3080474420567043e-07,0.23046302795410156,0.13046303391456604,0.34934964776039124,0.11624741554260254,0.2629431188106537
02221525,0.1895497441291809,0.7944993376731873,0.6049495935440063,0.20017820596694946,0.15869122743606567,3.725290298461914e-09,6.076547265365662e-08,0.2600440979003906,0.1600441038608551,0.3358326852321625,0.10046696662902832,0.2700841724872589
02297155,0.38443243503570557,0.4582955241203308,0.07386308908462524,0.4068930745124817,0.33735191822052,1.1920928955078125e-07,8.764050818399483e-08,0.24588775634765625,0.14588776230812073,0.38347360491752625,0.2071223258972168,0.2443254292011261
02300700,0.2659512758255005,0.4896327257156372,0.22368144989013672,0.2727052569389343,0.23097866773605347,1.1920928955078125e-07,1.2681370264999714e-07,0.2928447723388672,0.19284477829933167,0.3606222867965698,0.0768899917602539,0.2869166135787964
02363000,0.10742604732513428,0.7903857231140137,0.6829596757888794,0.14335203170776367,0.08948016166687012,5.960464477539063e-08,7.391167144987776e-08,0.5254631042480469,0.42546311020851135,0.24514153599739075,0.014026880264282227,0.3083397150039673
02381600,0.34700626134872437,0.5729584097862244,0.2259521484375,0.516440212726593,0.28471535444259644,1.4901161193847656e-08,8.928711991984528e-08,0.21076679229736328,0.11076679080724716,0.33149707317352295,0.19806885719299316,0.32211169600486755
02430085,0.21950334310531616,0.5744990110397339,0.3549956679344177,0.24409449100494385,0.2033076286315918,5.960464477539063e-08,1.1361557739064665e-07,0.21100425720214844,0.11100425571203232,0.37878090143203735,0.17409992218017578,0.27773526310920715
02469800,0.21310991048812866,0.8514741063117981,0.6383641958236694,0.23483169078826904,0.1858525276184082,5.960464477539063e-08,9.131714051591189e-08,0.24631881713867188,0.14631882309913635,0.38184136152267456,0.15474438667297363,0.2879367470741272
02479560,0.1276794672012329,0.7924671173095703,0.6647876501083374,0.138017475605011,0.11869430541992188,5.960464477539063e-08,1.0894690660734341e-07,0.3330841064453125,0.23308411240577698,0.39561334252357483,0.11834478378295898,0.23310379683971405
03015500,0.38446635007858276,0.7957258820533752,0.4112595319747925,0.4237741231918335,0.3274182677268982,4.470348358154297e-08,1.60544018967812e-07,0.13342702388763428,0.03342702239751816,0.39071664214134216,0.1755373477935791,0.22672787308692932
03049800,0.5753046274185181,0.4198101758956909,-0.15549445152282715,0.7296066284179688,0.47719109058380127,2.9802322387695312e-08,6.65222970042123e-08,0.13504678010940552,0.0350467786192894,0.3854118883609772,0.24379682540893555,0.24075491726398468
03078000,0.45130324363708496,0.6260904669761658,0.1747872233390808,0.48563456535339355,0.4174480438232422,4.470348358154297e-08,8.156713704465801e-08,0.18694019317626953,0.08694019168615341,0.39969393610954285,0.15252232551574707,0.2463657259941101
03180500,0.3492152690887451,0.7387794256210327,0.3895641565322876,0.3793659210205078,0.3222419023513794,2.9802322387695312e-08,0.0,0.13844776153564453,0.03844776004552841,0.41820964217185974,0.12950396537780762,0.2193318009376526
03238500,0.21383190155029297,0.7885662913322449,0.5747343897819519,0.26032888889312744,0.1843382716178894,1.4901161193847656e-08,1.3927024156146217e-07,0.1598978042602539,0.05989780277013779,0.3665391504764557,0.26329922676086426,0.25401684641838074
03291780,0.3004237413406372,0.66094571352005,0.36052197217941284,0.3374987840652466,0.271697998046875,2.9802322387695312e-08,6.69683757337225e-08,0.1373910903930664,0.03739108890295029,0.37408822774887085,0.19084763526916504,0.2682988941669464
03366500,0.2766612768173218,0.7822064161300659,0.5055451393127441,0.2926025390625,0.25092917680740356,2.9802322387695312e-08,6.625820958561235e-08,0.18398380279541016,0.08398380130529404,0.39005354046821594,0.12000226974487305,0.269829124212265
03456500,0.20932888984680176,0.7487859725952148,0.5394570827484131,0.2246924638748169,0.2003745436668396,5.960464477539063e-08,8.354621883199798e-08,0.13006210327148438,0.030062101781368256,0.4165263772010803,0.11292576789855957,0.2468757927417755
03479000,0.21901285648345947,0.7702596187591553,0.5512467622756958,0.24702215194702148,0.2171844244003296,7.450580596923828e-09,1.5732949520952388e-07,0.2524681091308594,0.15246811509132385,0.38209640979766846,0.010379314422607422,0.2708492875099182
03504000,0.22437262535095215,0.7921052575111389,0.5677326321601868,0.2406531572341919,0.2146652340888977,7.450580596923828e-09,0.0,0.13758325576782227,0.037583254277706146,0.3961234390735626,0.01439356803894043,0.25325173139572144
04024430,0.4712294936180115,0.7029736042022705,0.23174411058425903,0.5599334836006165,0.4118311405181885,5.960464477539063e-08,1.5350958904036816e-07,0.24866867065429688,0.14866867661476135,0.3835756182670593,0.25771164894104004,0.2733996510505676
04057510,0.5762550830841064,0.7756491303443909,0.19939404726028442,0.6523172855377197,0.5268527865409851,5.960464477539063e-08,6.479788083879612e-08,0.13985037803649902,0.039850376546382904,0.37765875458717346,0.10040402412414551,0.23616424202919006
04105700,0.5699080228805542,0.6046465635299683,0.03473854064941406,0.9135928153991699,0.4119364023208618,2.9802322387695312e-08,6.306548527845734e-08,0.22609519958496094,0.12609520554542542,0.3647538721561432,0.0,0.0
04127997,0.5460909605026245,0.5109243392944336,-0.03516662120819092,1.0100919008255005,0.36147254705429077,1.4901161193847656e-08,1.1856770498752667e-07,0.41957950592041016,0.31957951188087463,0.23208364844322205,0.0,0.0
04197170,0.3785635232925415,0.7647468447685242,0.38618332147598267,0.4418816566467285,0.3182503581047058,2.9802322387695312e-08,1.2315412334373832e-07,0.13697457313537598,0.03697457164525986,0.3958173990249634,0.25721240043640137,0.2675338089466095
04224775,0.4750645160675049,0.6842317581176758,0.2091672420501709,0.51849764585495,0.4329214096069336,2.9802322387695312e-08,1.3133036702583922e-07,0.21261119842529297,0.11261119693517685,0.3621014952659607,0.13761043548583984,0.24942617118358612
05120500,0.5415048599243164,0.4961123466491699,-0.045392513275146484,0.8042182326316833,0.48264604806900024,2.9802322387695312e-08,9.57575494453522e-08,0.15250253677368164,0.05250253528356552,0.41780155897140503,5.917724609375,0.34889060258865356
05408000,0.7864340543746948,0.6371655464172363,-0.1492685079574585,1.0951340198516846,0.6701216697692871,5.960464477539063e-08,1.0975601583140815e-07,0.1522691249847412,0.05226912349462509,0.3701096475124359,0.25543880462646484,0.2841112017631531
05458000,0.48492252826690674,0.6018116474151611,0.1168891191482544,0.6120601296424866,0.43025320768356323,1.4901161193847656e-08,1.4040033136097918e-07,0.13367414474487305,0.03367414325475693,0.3830655515193939,0.20554280281066895,0.31930631399154663
05495000,0.27810657024383545,0.7556233406066895,0.477516770362854,0.3104845881462097,0.23637813329696655,4.470348358154297e-08,7.478113417391796e-08,0.1716923713684082,0.07169236987829208,0.336903840303421,0.10133171081542969,0.3713338375091553
05508805,0.3239043951034546,0.7152848243713379,0.3913804292678833,0.3453404903411865,0.287168025970459,1.4901161193847656e-08,1.1121572640604427e-07,0.18467044830322266,0.08467044681310654,0.3366488218307495,0.13071036338806152,0.3325682282447815
05592050,0.33539867401123047,0.717052161693573,0.38165348768234253,0.381472110748291,0.28176575899124146,5.960464477539063e-08,1.591962188740581e-07,0.24552249908447266,0.14552250504493713,0.34746238589286804,0.1252458095550537,0.2912522256374359
06221400,0.27028805017471313,0.9062103033065796,0.6359222531318665,0.285671591758728,0.23890650272369385,1.1920928955078125e-07,1.8509462051952141e-07,0.18411636352539062,0.0841163620352745,0.37572047114372253,0.2312791347503662,0.2892119288444519
06291500,1.2559007406234741,0.7572038173675537,-0.4986969232559204,1.4636980891227722,1.1632285714149475,0.0,6.468168578521727e-08,0.1791534423828125,0.07915344089269638,0.3438408374786377,0.04610395431518555,0.36470288038253784
06350000,1.1700645685195923,0.42987585067749023,-0.740188717842102,1.8401725888252258,1.0654509663581848,5.960464477539063e-08,1.0613302237061362e-07,0.1448984146118164,0.04489841312170029,0.3424636423587799,0.2731974124908447,0.3374139368534088
06431500,0.6695653200149536,0.5625475645065308,-0.10701775550842285,0.8942791223526001,0.58447265625,1.1920928955078125e-07,9.949638979378506e-08,0.18147563934326172,0.0814756378531456,0.34781941771507263,0.2560274600982666,0.25223156809806824
06479215,0.5645267367362976,0.4181479811668396,-0.146378755569458,0.7311729788780212,0.5419370532035828,5.960464477539063e-08,9.94960132061351e-08,0.18776178359985352,0.0877617821097374,0.374649316072464,0.1715230941772461,0.3794950246810913
06632400,0.373115599155426,0.8216374516487122,0.44852185249328613,0.4277659058570862,0.3326019048690796,0.0,1.1206454075818328e-07,0.14198535680770874,0.04198535531759262,0.3646518588066101,0.2920548915863037,0.25325173139572144
