basin,D_record,D_exp2,D_abs_diff_vs_exp2,whole_mean_abs_max,whole_std_rel_max,whole_corr_abs_max,whole_corr_abs_median,delta_abs_p50,delta_abs_p90,delta_abs_p99,rolling_mean_abs_p50,rolling_mean_abs_p90,rolling_mean_abs_p99,rolling_mean_abs_max,rolling_std_rel_p50,rolling_std_rel_p90,rolling_std_rel_p99,rolling_std_rel_max,rolling_corr_abs_p50,rolling_corr_abs_p90,rolling_corr_abs_p99,rolling_corr_abs_max
02246000,0.18189561367034912,0.18189668655395508,1.0728836059570312e-06,0.008238284198058499,0.007930640663365386,0.03336374416976917,0.023421857101707855,0.08660292625427246,0.10000002384185791,0.10000002384185791,0.03254167244390205,0.06462867030666938,0.08387254338159605,0.08903765794303681,0.021806470082718188,0.0501283588036738,0.07501896293719124,0.08463165864349775,0.030153657997103546,0.08307333391226035,0.1312302629834421,0.160609465321166
02296500,0.38902920484542847,0.3886447548866272,0.00038444995880126953,0.01332608684878421,0.008076076809071025,0.02113027755249386,0.017769848327052043,0.09632349014282227,0.10000002384185791,0.10000002384185791,0.038581085867352094,0.06686824620321952,0.07961830048621803,0.0832695105837451,0.02212092396982522,0.07149528498467886,0.12424160939564544,0.13778100766338958,0.028501941473844737,0.10183460213031789,0.18892006357569824,0.23271351335834506
02297155,0.3376618027687073,0.33735191822052,0.00030988454818725586,0.009302569285806597,0.009273143630481118,0.03320048354408775,0.01877124629229579,0.09057044982910156,0.10000002384185791,0.10000002384185791,0.03515385015419237,0.06672695422614061,0.08259682609306442,0.08795676336244301,0.022691428844303245,0.057895338160723266,0.12772586661541338,0.18891609701240222,0.025508881468945838,0.09216946367433697,0.1490649436734163,0.17896382019879825
02297310,0.3636353611946106,0.363349974155426,0.0002853870391845703,0.009642157983913671,0.009736935680833338,0.03556591316075427,0.024511189319182614,0.08972048759460449,0.10000002384185791,0.10000002384185791,0.02955868251069822,0.06472860480900167,0.08814101160566012,0.09474749703098226,0.02454802223161239,0.06458085107118935,0.10333600642853197,0.13191339144826006,0.03191751779423595,0.10482301452160792,0.16250723873137035,0.207794617925096
02298123,0.37320297956466675,0.3731731176376343,2.9861927032470703e-05,0.009475964673758469,0.010494847311054167,0.047181170435027536,0.02612069279417098,0.08501072227954865,0.10000002384185791,0.10000002384185791,0.03910004772521833,0.06486637346860435,0.08108494822736134,0.08774125606373503,0.02862128843624028,0.05794145873753253,0.10463646934394467,0.10991224353990997,0.03529632093604307,0.10292214884912948,0.1704943483320963,0.23023700769337233
02298608,0.15196317434310913,0.15206682682037354,0.0001036524772644043,0.011632342072993573,0.00992359884669936,0.06629499823788895,0.02866732116739626,0.061487019062042236,0.10000002384185791,0.10000002384185791,0.02138908454389485,0.03698885211514106,0.05274942364640258,0.06184118715701281,0.022498827725516996,0.046008380010385964,0.09545031401950835,0.11161273942536014,0.031187758824547607,0.09480787510697547,0.12899403349522556,0.19821656766491288
02299950,0.19525682926177979,0.19524645805358887,1.0371208190917969e-05,0.01077102555199086,0.006495068648966596,0.056318446982803784,0.024454256174875094,0.07130247354507446,0.10000002384185791,0.10000002384185791,0.02793199960832249,0.0469594142779155,0.07761920762282837,0.09088536986598261,0.018012400800853423,0.05362228417679296,0.09255283125256482,0.11547878298810581,0.027669298429013764,0.07196507581862585,0.11698531883137807,0.13388612918204876
02300700,0.23109859228134155,0.23097866773605347,0.00011992454528808594,0.009004434877073116,0.006981954788836103,0.056236992850601186,0.031949477569949494,0.09180474281311035,0.10000002384185791,0.10000002384185791,0.026637374037117786,0.04752241520280087,0.06767951686073237,0.07813301345816359,0.02666262956796475,0.057933881215339156,0.09045987620544504,0.13771734929836218,0.023138307933130098,0.09315319300579424,0.13189658075130095,0.17361545474274084
02342933,0.1337262988090515,0.13361448049545288,0.00011181831359863281,0.012301074358516129,0.0050442591087323605,0.01692975764183663,0.012086650957285942,0.09969481825828552,0.10000002384185791,0.10000002384185791,0.027742091528381453,0.06377220871030462,0.08163271935449701,0.08489967314181512,0.01835814114098734,0.049902214189514627,0.07695697087835392,0.10640238319239,0.015411694010974641,0.04935324431263505,0.0896633764457325,0.11430542411019602
02349900,0.15464568138122559,0.15451312065124512,0.00013256072998046875,0.012206310315831415,0.007463164181781565,0.023952538653810362,0.005330440083750387,0.06182244420051575,0.10000002384185791,0.10000002384185791,0.01938508568952483,0.03772362709045411,0.07311220269001742,0.08750475244941536,0.00982968572180078,0.03231692548589686,0.06248663788745265,0.07177745087821853,0.012641267165556152,0.03589448609599534,0.06324600759431716,0.08497621161009394
02350900,0.09913307428359985,0.09934234619140625,0.00020927190780639648,0.011352459270411175,0.004450186614863765,0.027629291900878206,0.022685126666145305,0.03943922370672226,0.10000000149011612,0.10000002384185791,0.017073275907723978,0.025775004401803015,0.06401119720604681,0.07759241265831168,0.00781503886986605,0.017966698934640077,0.045321576014245905,0.05426521975524493,0.019228456906403117,0.04092152562563506,0.05922918423161183,0.08381430647848008
02361000,0.04911959171295166,0.049056172370910645,6.341934204101562e-05,0.011966622698918128,0.005362634107527031,0.028320791138774115,0.021316156999060948,0.06216466426849365,0.10000002384185791,0.10000002384185791,0.028701331845864042,0.03958101500446597,0.0719658215121814,0.08171772730571258,0.010670648419206206,0.03306471245207353,0.060217805982450766,0.06690559185388319,0.021357890612062364,0.049138477459222764,0.0651801226638791,0.07966420897427329
02363000,0.08949923515319824,0.08948016166687012,1.9073486328125e-05,0.011243497235028377,0.004816360836826365,0.02979876659036363,0.01904252436837968,0.055739402770996094,0.10000002384185791,0.10000002384185791,0.017932590787057556,0.030936857768230963,0.07190763635767827,0.0819077120886908,0.009624587565834009,0.022759507646262937,0.04781709732927528,0.06291787684119217,0.017433844517439567,0.04137857454223809,0.06269602731668336,0.08050992712454183
02369800,0.08578658103942871,0.08574408292770386,4.2498111724853516e-05,0.010260256899445236,0.004815957913593931,0.03290997117069411,0.02491870461867706,0.08598560094833374,0.10000002384185791,0.10000002384185791,0.023307513859536888,0.04510367669992976,0.058027662805936964,0.0631608282664308,0.014799334559941351,0.03552186068053435,0.06724028678188172,0.07867945932626431,0.021540661181837693,0.05994911378225863,0.09175045205419013,0.12056686289279123
02371500,0.15046852827072144,0.15039324760437012,7.528066635131836e-05,0.007199075692460366,0.0032349700164206623,0.01613645902370981,0.009287693512093124,0.09202611446380615,0.10000002384185791,0.10000002384185791,0.043765513378161036,0.06601151422769937,0.08165019187731322,0.08831712206204731,0.011340747476840296,0.038775105666735865,0.08116098291977489,0.09517950270580411,0.02056301329376807,0.05829553653112401,0.08850158365468863,0.10236764429984249
