truth_trial,switch_between_days,state_name,absolute_boundary_change,non_boundary_median_absolute_change,non_boundary_95th_percentile_absolute_change,boundary_to_non_boundary_95th_ratio
2,180-181,qraw_t_minus_0,4.7147855830860435,0.9086000588125538,8.855533021491766,0.5324112700662496
2,180-181,qraw_t_minus_1,2.652655033164435,0.9086000588125538,8.855533021491766,0.29954775468925754
2,180-181,qraw_t_minus_2,2.2816108723232174,0.9086000588125538,8.855533021491766,0.25764805650725997
2,180-181,qraw_t_minus_3,5.537611715999644,0.900622938463608,8.855533021491766,0.6253278828682862
2,180-181,qraw_t_minus_4,7.495624772129919,0.8997348542535981,8.855533021491766,0.8464340603709067
2,180-181,qraw_t_minus_5,2.0910478993800456,0.900622938463608,8.855533021491766,0.23612897092757906
2,180-181,qraw_t_minus_6,5.118435635879143,0.900622938463608,8.855533021491766,0.577992947850463
2,180-181,qraw_t_minus_7,5.5648495062641,0.900622938463608,8.855533021491766,0.6284036762957798
2,180-181,qraw_t_minus_8,2.5580424642746316,0.8997348542535981,8.855533021491766,0.2888637485814168
2,180-181,qraw_t_minus_9,12.604259758205947,0.8997348542535981,8.768276580839961,1.4374842812039257
2,360-361,SNOWPACK,5.715522266415422,6.59976941024818,22.32972183079697,0.25596029855296365
2,360-361,MELTWATER,0.03801304361034664,4.4834570569140594e-08,0.11872033982829407,0.3201898146966655
2,360-361,SM,445.52215628944003,7.709553304418193,22.1108083230091,20.149519175462153
2,360-361,SUZ,23.095996051348813,2.1825070318792683,10.19636491404302,2.2651205842524997
2,360-361,SLZ,71.68065010994405,24.770990399440507,73.63087708823626,0.9735134626203742
2,360-361,qraw_t_minus_0,6.044310085905382,0.9086000588125538,8.855533021491766,0.6825461630865426
2,360-361,qraw_t_minus_1,2.2114264279305846,0.9086000588125538,8.855533021491766,0.24972256583128374
2,360-361,qraw_t_minus_2,1.9715096966736176,0.9086000588125538,8.855533021491766,0.2226302687696946
2,360-361,qraw_t_minus_3,7.394015167817557,0.900622938463608,8.855533021491766,0.8349599227819255
2,360-361,qraw_t_minus_4,2.615788511793956,0.8997348542535981,8.855533021491766,0.2953846488343071
2,360-361,qraw_t_minus_5,0.12118482362928962,0.900622938463608,8.855533021491766,0.013684644767873648
2,360-361,qraw_t_minus_6,0.35501059416559144,0.900622938463608,8.855533021491766,0.04008912770174368
2,360-361,qraw_t_minus_7,0.4740827150913196,0.900622938463608,8.855533021491766,0.05353519815698882
2,360-361,qraw_t_minus_8,0.18899030804570316,0.8997348542535981,8.855533021491766,0.021341494361438975
2,360-361,qraw_t_minus_9,0.1720288427341723,0.8997348542535981,8.768276580839961,0.019619458983545512
3,180-181,SNOWPACK,0.0,6.050329644305166,23.17779161772249,0.0
3,180-181,MELTWATER,0.0,4.7321539855693635e-08,1.5680790083717635,0.0
3,180-181,SM,433.39633207578606,7.5605884451864185,22.018404799176402,19.683366530349065
3,180-181,SUZ,3.076571742657377,2.0527587361675472,8.890183684784672,0.3460639118090274
3,180-181,SLZ,4.292558972817119,26.05293185939926,75.98245042083842,0.05649408447664214
3,180-181,qraw_t_minus_0,9.323132045427519,0.9617302067509703,8.119532488160987,1.1482350811480204
3,180-181,qraw_t_minus_1,0.2685066919786552,0.9617302067509703,8.778951288091337,0.03058528099397077
3,180-181,qraw_t_minus_2,0.8630978893438801,0.9617302067509703,8.778951288091337,0.0983144638830237
3,180-181,qraw_t_minus_3,1.6427032219373823,0.9552348954573784,8.386551734339415,0.19587349771076962
3,180-181,qraw_t_minus_4,0.8473185350543524,0.9607290241845323,8.386551734339415,0.10103300640058513
3,180-181,qraw_t_minus_5,2.1109863000218656,0.9509366758774331,8.386551734339415,0.2517108779497849
3,180-181,qraw_t_minus_6,0.7095533904416609,0.9473910788823585,8.386551734339415,0.08460609472381087
3,180-181,qraw_t_minus_7,0.8927445786847858,0.9473910788823585,8.386551734339415,0.10644954052204447
3,180-181,qraw_t_minus_8,2.9199123679207606,0.9409032617725828,8.205090262940491,0.35586596543720894
3,180-181,qraw_t_minus_9,2.4078843637241922,0.9364479947402513,8.205090262940491,0.29346226385829777
3,360-361,SNOWPACK,5.715522266415422,6.050329644305166,23.17779161772249,0.2465947731640295
3,360-361,MELTWATER,2.7382257744981074e-08,4.7321539855693635e-08,1.5680790083717635,1.7462294692289655e-08
3,360-361,SM,3.975148483932358,7.5605884451864185,22.018404799176402,0.1805375330405883
3,360-361,SUZ,11.147345103014096,2.0527587361675472,8.890183684784672,1.253893676245689
3,360-361,SLZ,48.38730540388667,26.05293185939926,75.98245042083842,0.6368221232124979
3,360-361,qraw_t_minus_0,17.810466937451416,0.9617302067509703,8.119532488160987,2.1935335517679975
3,360-361,qraw_t_minus_1,6.262347982299243,0.9617302067509703,8.778951288091337,0.7133366818875199
3,360-361,qraw_t_minus_2,1.8418862200896289,0.9617302067509703,8.778951288091337,0.2098070896677774
3,360-361,qraw_t_minus_3,11.78033571285932,0.9552348954573784,8.386551734339415,1.4046697720379857
3,360-361,qraw_t_minus_4,0.3327100715908964,0.9607290241845323,8.386551734339415,0.03967185586283193
3,360-361,qraw_t_minus_5,0.13734341866118926,0.9509366758774331,8.386551734339415,0.016376625699311614
3,360-361,qraw_t_minus_6,0.9617302067509703,0.9473910788823585,8.386551734339415,0.11467528457650696
3,360-361,qraw_t_minus_7,0.12063153360147849,0.9473910788823585,8.386551734339415,0.014383925291671774
3,360-361,qraw_t_minus_8,0.12073625143513755,0.9409032617725828,8.205090262940491,0.01471479868789022
3,360-361,qraw_t_minus_9,0.34424020622578366,0.9364479947402513,8.205090262940491,0.04195446913979675
