### channel=zhenjiang-oyv-qual seq=25
### host=login4
### started=2026-08-21T15:28:18+0800
### ---------- output ----------
=== A. IDENTITIES ===
1c4859cd7e20470251874005fb32fbc3d5aa1998ba1d408b9377d6f546c36d72  /data1/home/sunyiq/zhenjiang_oyv_v1/ladder_impact/ladder_cost_summary.csv
71d769de46c3eb8b3c0a87f399810200f316c277334ebe7a011bad6afb653908  /data1/home/sunyiq/zhenjiang_oyv_v1/ladder_impact/station_ranking.csv
=== B. HEADER ===
measured_against,target,condition,horizon_hours,median_cost_m,minimum_cost_m,maximum_cost_m,median_relative_cost,positive_fold_years,fold_count
=== C. TARGET-GAUGE FAILURE COSTS, ALL REPORTED HORIZONS ===
hidden_target,jiangyin,hidden_target_minus_nanjing,6,0.0006990514014020045,-0.006925194793277321,0.005011065100072744,0.010987436533984495,5,8
hidden_target,jiangyin,hidden_target_minus_nanjing,12,0.009814829746213033,-0.0015604725575643075,0.020694388020596755,0.01295954124418092,6,8
hidden_target,jiangyin,hidden_target_minus_nanjing,24,-0.004580620581364631,-0.03941501884830256,0.005707777970005268,-0.006471479392315663,2,8
hidden_target,jiangyin,hidden_target_minus_wusongkou,1,-0.0005194017188914386,-0.003182843637344196,0.002669039014915022,-0.01463858093419649,3,8
hidden_target,jiangyin,hidden_target_minus_wusongkou,3,0.0033322441298088683,-0.0021351323240470857,0.010330820068566487,0.08388205596901772,6,8
hidden_target,jiangyin,hidden_target_minus_wusongkou,6,0.005408800539684013,0.001903563109737147,0.009123288206310864,0.08291659357000528,8,8
hidden_target,jiangyin,hidden_target_minus_wusongkou,12,0.019549915849049526,-0.00536488623664122,0.033723027834972996,0.022690324596751833,7,8
hidden_target,jiangyin,hidden_target_minus_wusongkou,24,-0.005591698733848627,-0.03237922090269907,0.01079153673968225,-0.006901753039303335,2,8
hidden_target,jiangyin,hidden_target_minus_xuliujing,1,0.014834761900050102,0.009951332345578968,0.02326555046319486,0.39374954522768213,8,8
hidden_target,jiangyin,hidden_target_minus_xuliujing,3,0.009294638938188568,0.004552438177340606,0.015843925551450075,0.23948946918089833,8,8
hidden_target,jiangyin,hidden_target_minus_xuliujing,6,0.00425033556627118,-0.001631560620635443,0.00886539878986086,0.061997633781998976,7,8
hidden_target,jiangyin,hidden_target_minus_xuliujing,12,0.021083420856221752,0.005706600208564283,0.04414157547887815,0.025542048785369253,8,8
hidden_target,jiangyin,hidden_target_minus_xuliujing,24,0.0071869111269644015,-0.024443083820920974,0.026003606825235837,0.010686914532702728,5,8
hidden_target,jiangyin,hidden_target_minus_zhenjiang,1,0.0024479744407124642,-0.0007722449240337818,0.00936772637837804,0.0786139250270669,7,8
hidden_target,jiangyin,hidden_target_minus_zhenjiang,3,0.004361995096562418,0.00048770179017727094,0.008845052277896646,0.10040489750844395,8,8
hidden_target,jiangyin,hidden_target_minus_zhenjiang,6,0.0023144588129052693,-0.000856501016899408,0.006673437503444877,0.029280420445162575,6,8
hidden_target,jiangyin,hidden_target_minus_zhenjiang,12,0.0066775733757306055,-0.009954786059158893,0.02995559648124585,0.008868840975626444,5,8
